128.859863946	31.1
129.678367347	31.2
130.749387755	31.3
131.784489796	31.4
132.893605442	32.1
133.688163265	32.2
134.713469388	32.3
135.493877551	32.4
136.263401361	33.1
137.085714286	33.2
138.022312925	33.3
138.794557823	33.4
139.866666667	34.1
140.924263039	34.2
141.791043084	34.3
142.657596372	34.4
143.550113379	35.1
144.348571429	35.2
145.333696145	35.3
146.271201814	35.4
147.651337868	36.1
148.445170068	36.2
149.340952381	36.3
150.220453515	36.4
151.128888889	37.1
151.872653061	37.2
152.834285714	37.3
153.596734694	37.4
154.492585034	38.1
155.388571429	38.2
156.181224490	38.3
157.145034014	38.4
158.318367347	39.1
159.390476190	39.2
160.245804989	39.3
161.068843537	39.4
162.104308390	40.1
163.053424036	40.2
163.783877551	40.3
164.600816327	40.4
165.430476190	41.1
166.250158730	41.2
167.025986395	41.3
167.801904762	41.4
168.706031746	42.1
169.514920635	42.2
170.196462585	42.3
170.967074830	42.4
171.723174603	43.1
172.466122449	43.2
173.208888889	43.3
173.889523810	43.4
174.633945578	44.1
175.333514739	44.2
176.149886621	44.3
176.921541950	44.4
177.701587302	45.1
178.615147392	45.2
179.300045351	45.3
180.086553288	45.4
180.929886621	46.1
181.872970522	46.2
182.987755102	46.3
183.928888889	46.4
185.186394558	46.5
186.462040816	46.6
188.546666667	47.1
189.561904762	47.2
190.385487528	47.3
191.341496599	47.4
192.359183673	48.1
193.153741497	48.2
194.100680272	48.3
195.099863946	48.4
196.019954649	49.1
196.779319728	49.2
197.696507937	49.3
198.675374150	49.4
199.652789116	50.1
200.528979592	50.2
201.493968254	50.3
202.366258503	50.4
203.378503401	51.1
204.223129252	51.2
205.177324263	51.3
206.072380952	51.4
206.976870748	52.1
207.993469388	52.2
208.840272109	52.3
209.718639456	52.4
210.638367347	53.1
211.625578231	53.2
212.865306122	53.3
213.890612245	53.4
215.312653061	54.1
216.361904762	54.2
217.324625850	54.3
218.306031746	54.4
219.311746032	55.1
220.371882086	55.2
221.351473923	55.3
222.278458050	55.4
223.542857143	56.1
224.536961451	56.2
225.667120181	56.3
226.555646259	56.4
227.969160998	57.1
229.076462585	57.2
230.192108844	57.3
231.226122449	57.4
232.536598639	58.1
233.447619048	58.2
234.271927438	58.3
235.201088435	58.4
236.093605442	59.1
236.974058957	59.2
237.837278912	59.3
238.692789116	59.4
239.570068027	60.1
240.487619048	60.2
241.356190476	60.3
242.161632653	60.4
243.021496599	61.1
243.918367347	61.2
244.756462585	61.3
245.616326531	61.4
246.791836735	62.1
247.731156463	62.2
248.591020408	62.3
249.413877551	62.4
250.492517007	63.1
251.340408163	63.2
252.417959184	63.3
253.554285714	63.4
255.167346939	64.1
256.219863946	64.2
257.190748299	64.3
258.345215420	64.4
259.720272109	65.1
260.659591837	65.2
261.510748299	65.3
262.472562358	65.4
263.450702948	66.1
264.450612245	66.2
265.530340136	66.3
266.446802721	66.4
267.731156463	67.1
268.904489796	67.2
269.680544218	67.3
270.470385488	67.4
271.631383220	68.1
272.519546485	68.2
273.462857143	68.3
274.263945578	68.4
275.559183673	69.1
276.604081633	69.2
